market_cap,Date
"119,539,754,303",01/01/2019
"130,559,683,929",02/01/2019
"132,191,953,108",03/01/2019
"129,598,302,071",04/01/2019
"125,127,770,874",05/01/2019
"127,387,901,332",06/01/2019
"133,699,445,974",07/01/2019
"130,001,303,335",08/01/2019
"131,186,994,930",09/01/2019
"131,596,137,094",10/01/2019
"136,472,269,765",11/01/2019
"135,181,889,266",12/01/2019
"135,692,781,759",13/01/2019
"136,622,865,059",14/01/2019
"121,877,149,733",15/01/2019
"121,521,869,094",16/01/2019
"121,501,622,603",17/01/2019
"116,264,026,528",18/01/2019
"122,793,431,199",19/01/2019
"119,158,976,045",20/01/2019
"120,760,711,700",21/01/2019
"121,732,647,934",22/01/2019
"120,687,671,192",23/01/2019
"123,718,332,639",24/01/2019
"119,176,701,826",25/01/2019
"118,400,593,695",26/01/2019
"120,324,780,190",27/01/2019
"119,457,252,817",28/01/2019
"119,949,994,991",29/01/2019
"119,490,003,129",30/01/2019
"119,712,328,572",31/01/2019
"118,727,660,269",01/02/2019
"112,849,403,241",02/02/2019
"112,254,825,327",03/02/2019
"115,265,595,505",04/02/2019
"113,828,868,736",05/02/2019
"114,524,755,348",06/02/2019
"114,459,946,116",07/02/2019
"113,742,474,877",08/02/2019
"114,060,619,741",09/02/2019
"114,083,378,282",10/02/2019
"111,644,353,981",11/02/2019
"111,861,341,538",12/02/2019
"120,342,221,925",13/02/2019
"121,668,868,725",14/02/2019
"121,671,686,389",15/02/2019
"121,249,812,858",16/02/2019
"121,102,545,930",17/02/2019
"120,375,898,593",18/02/2019
"119,663,113,409",19/02/2019
"120,111,326,739",20/02/2019
"121,276,134,204",21/02/2019
"123,002,391,942",22/02/2019
"131,181,258,551",23/02/2019
"133,801,690,737",24/02/2019
"134,997,398,290",25/02/2019
"132,638,028,535",26/02/2019
"135,053,714,372",27/02/2019
"140,680,996,132",28/02/2019
"127,417,963,526",01/03/2019
"130,049,467,328",02/03/2019
"128,915,196,173",03/03/2019
"126,733,124,308",04/03/2019
"128,896,223,868",05/03/2019
"130,209,884,746",06/03/2019
"129,192,527,194",07/03/2019
"128,523,108,821",08/03/2019
"124,491,389,948",09/03/2019
"130,872,996,455",10/03/2019
"132,193,972,902",11/03/2019
"132,919,236,462",12/03/2019
"130,572,963,594",13/03/2019
"134,285,022,063",14/03/2019
"134,252,472,508",15/03/2019
"132,463,034,752",16/03/2019
"133,782,834,138",17/03/2019
"132,943,242,011",18/03/2019
"133,505,588,825",19/03/2019
"137,314,195,749",20/03/2019
"140,837,591,064",21/03/2019
"139,517,676,312",22/03/2019
"139,449,496,510",23/03/2019
"140,367,571,154",24/03/2019
"141,886,835,963",25/03/2019
"139,079,642,352",26/03/2019
"140,258,621,413",27/03/2019
"140,857,035,969",28/03/2019
"140,495,609,196",29/03/2019
"138,007,705,979",30/03/2019
"138,090,197,897",31/03/2019
"142,799,268,110",01/04/2019
"142,706,756,881",02/04/2019
"145,550,504,850",03/04/2019
"145,360,107,230",04/04/2019
"146,152,509,784",05/04/2019
"147,857,561,299",06/04/2019
"168,215,973,382",07/04/2019
"176,484,381,716",08/04/2019
"170,495,067,569",09/04/2019
"177,307,105,151",10/04/2019
"177,715,819,359",11/04/2019
"182,588,675,375",12/04/2019
"184,105,664,346",13/04/2019
"180,449,259,881",14/04/2019
"183,407,546,648",15/04/2019
"172,613,124,828",16/04/2019
"173,738,151,834",17/04/2019
"173,426,618,551",18/04/2019
"177,194,736,203",19/04/2019
"172,507,477,304",20/04/2019
"177,015,755,306",21/04/2019
"177,976,652,158",22/04/2019
"181,314,044,562",23/04/2019
"180,689,006,236",24/04/2019
"180,972,655,812",25/04/2019
"178,712,179,038",26/04/2019
"181,637,637,717",27/04/2019
"183,624,300,227",28/04/2019
"176,781,276,404",29/04/2019
"178,119,940,694",30/04/2019
"171,253,117,221",01/05/2019
"172,015,206,514",02/05/2019
"171,018,798,920",03/05/2019
"167,030,639,265",04/05/2019
"173,974,205,506",05/05/2019
"173,098,297,125",06/05/2019
"176,159,313,395",07/05/2019
"183,675,308,632",08/05/2019
"184,126,253,758",09/05/2019
"181,705,942,908",10/05/2019
"183,008,337,354",11/05/2019
"185,746,139,216",12/05/2019
"186,055,484,001",13/05/2019
"186,484,772,759",14/05/2019
"193,734,562,973",15/05/2019
"219,068,041,935",16/05/2019
"209,512,376,181",17/05/2019
"231,281,699,291",18/05/2019
"237,129,765,939",19/05/2019
"253,433,108,344",20/05/2019
"248,159,419,734",21/05/2019
"228,519,432,851",22/05/2019
"230,089,496,228",23/05/2019
"253,979,497,721",24/05/2019
"245,493,748,656",25/05/2019
"248,933,582,721",26/05/2019
"241,980,364,957",27/05/2019
"246,509,023,800",28/05/2019
"252,181,689,611",29/05/2019
"252,517,044,163",30/05/2019
"268,150,900,355",31/05/2019
"273,853,313,843",01/06/2019
"273,976,526,266",02/06/2019
"275,976,707,856",03/06/2019
"262,732,380,119",04/06/2019
"271,257,075,431",05/06/2019
"273,649,425,044",06/06/2019
"277,379,707,382",07/06/2019
"270,333,165,327",08/06/2019
"244,733,713,490",09/06/2019
"249,642,640,710",10/06/2019
